Symbol,Company,Price,Vol Ratio,Avg Vol,Upside %,Sentiment
SKWD,"Skyward Specialty Insurance Group, Inc.",46.48,1.61x,390698,53.8%,Neutral/Positive
IMCR,Immunocore Holdings plc,33.35,1.83x,321949,64.9%,Neutral/Positive
OCS,Oculis Holding AG,25.22,2.93x,147377,58.6%,Neutral/Positive
AMPX,"Amprius Technologies, Inc.",11.0,1.71x,6078883,54.5%,Neutral/Positive
RPD,"Rapid7, Inc.",12.64,1.72x,1037175,42.4%,Neutral/Positive
WEAV,"Weave Communications, Inc.",6.65,2.71x,1269547,50.4%,Neutral/Positive
TII,Titan Mining Corporation,4.07,3.29x,561904,47.4%,Neutral/Positive
AUNA,Auna S.A.,4.63,3.49x,155130,94.4%,Neutral/Positive
EOLS,"Evolus, Inc.",5.2,2.15x,1145645,226.9%,Neutral/Positive
CARL,"CARLSMED, INC.",12.57,2.03x,83640,59.1%,Neutral/Positive
TOYO,"TOYO Co., Ltd.",6.28,4.15x,25550,186.6%,Neutral/Positive
CGEN,Compugen Ltd.,2.36,1.94x,545814,69.5%,Neutral/Positive
ZVIA,Zevia PBC,1.92,1.93x,1227313,108.3%,Neutral/Positive
